,durations_s,timestamps
384,0.05848,2025-08-29T18:11:45.122206
385,0.058888,2025-08-29T18:11:45.181147
386,0.058844,2025-08-29T18:11:45.240052
387,0.066887,2025-08-29T18:11:45.307023
388,0.059275,2025-08-29T18:11:45.366370
389,0.067562,2025-08-29T18:11:45.433994
390,0.062187,2025-08-29T18:11:45.496240
391,0.057609,2025-08-29T18:11:45.553919
392,0.05802,2025-08-29T18:11:45.611995
393,0.057915,2025-08-29T18:11:45.669967
394,0.065635,2025-08-29T18:11:45.735663
395,0.069067,2025-08-29T18:11:45.804793
396,0.05831,2025-08-29T18:11:45.863162
397,0.059308,2025-08-29T18:11:45.922530
398,0.059011,2025-08-29T18:11:45.981603
399,0.059646,2025-08-29T18:11:46.041315
400,0.068242,2025-08-29T18:11:46.111770
401,0.063963,2025-08-29T18:11:46.175791
402,0.059926,2025-08-29T18:11:46.235771
403,0.058015,2025-08-29T18:11:46.293842
404,0.058232,2025-08-29T18:11:46.352132
405,0.058651,2025-08-29T18:11:46.410841
406,0.057824,2025-08-29T18:11:46.468726
407,0.058501,2025-08-29T18:11:46.527283
408,0.059033,2025-08-29T18:11:46.586371
409,0.058817,2025-08-29T18:11:46.645252
410,0.059041,2025-08-29T18:11:46.704354
411,0.059197,2025-08-29T18:11:46.763609
412,0.058649,2025-08-29T18:11:46.822350
413,0.069697,2025-08-29T18:11:46.892139
414,0.065944,2025-08-29T18:11:46.958152
415,0.068087,2025-08-29T18:11:47.026307
416,0.058329,2025-08-29T18:11:47.084701
417,0.058006,2025-08-29T18:11:47.142769
418,0.059584,2025-08-29T18:11:47.202425
419,0.058379,2025-08-29T18:11:47.260869
420,0.058487,2025-08-29T18:11:47.319421
421,0.058003,2025-08-29T18:11:47.377487
422,0.058945,2025-08-29T18:11:47.436496
423,0.058664,2025-08-29T18:11:47.495230
424,0.058652,2025-08-29T18:11:47.553952
425,0.058154,2025-08-29T18:11:47.612168
426,0.058275,2025-08-29T18:11:47.670507
427,0.060645,2025-08-29T18:11:47.731214
428,0.058419,2025-08-29T18:11:47.789694
429,0.059474,2025-08-29T18:11:47.849225
430,0.058097,2025-08-29T18:11:47.907383
431,0.059471,2025-08-29T18:11:47.966928
432,0.0578,2025-08-29T18:11:48.024797
433,0.058442,2025-08-29T18:11:48.083300
434,0.058558,2025-08-29T18:11:48.141928
435,0.05826,2025-08-29T18:11:48.200250
436,0.059101,2025-08-29T18:11:48.259422
437,0.05911,2025-08-29T18:11:48.318605
438,0.058658,2025-08-29T18:11:48.377322
439,0.05899,2025-08-29T18:11:48.436378
440,0.058765,2025-08-29T18:11:48.495201
441,0.058518,2025-08-29T18:11:48.553783
442,0.058054,2025-08-29T18:11:48.611917
443,0.05872,2025-08-29T18:11:48.670711
444,0.059466,2025-08-29T18:11:48.730247
445,0.063009,2025-08-29T18:11:48.793334
446,0.064389,2025-08-29T18:11:48.857801
447,0.069482,2025-08-29T18:11:48.927390
448,0.058807,2025-08-29T18:11:48.986262
449,0.058925,2025-08-29T18:11:49.045249
450,0.05926,2025-08-29T18:11:49.104566
451,0.058242,2025-08-29T18:11:49.162863
452,0.061783,2025-08-29T18:11:49.224729
453,0.06402,2025-08-29T18:11:49.288826
454,0.057925,2025-08-29T18:11:49.346815
455,0.058239,2025-08-29T18:11:49.405114
456,0.066513,2025-08-29T18:11:49.471701
457,0.059139,2025-08-29T18:11:49.530917
458,0.058457,2025-08-29T18:11:49.589432
459,0.058202,2025-08-29T18:11:49.647690
460,0.058072,2025-08-29T18:11:49.705823
461,0.058554,2025-08-29T18:11:49.764439
462,0.058739,2025-08-29T18:11:49.823249
463,0.058393,2025-08-29T18:11:49.881701
464,0.058136,2025-08-29T18:11:49.939912
465,0.068364,2025-08-29T18:11:50.008351
466,0.064387,2025-08-29T18:11:50.072804
467,0.05771,2025-08-29T18:11:50.130574
468,0.057815,2025-08-29T18:11:50.188451
469,0.059869,2025-08-29T18:11:50.248378
470,0.058145,2025-08-29T18:11:50.306583
471,0.058901,2025-08-29T18:11:50.365552
472,0.058413,2025-08-29T18:11:50.424029
473,0.058845,2025-08-29T18:11:50.482931
474,0.058829,2025-08-29T18:11:50.541818
475,0.059112,2025-08-29T18:11:50.600995
476,0.058617,2025-08-29T18:11:50.659678
477,0.058882,2025-08-29T18:11:50.718623
478,0.066455,2025-08-29T18:11:50.785152
479,0.070284,2025-08-29T18:11:50.855505
480,0.060193,2025-08-29T18:11:50.915777
481,0.067886,2025-08-29T18:11:50.983731
482,0.062874,2025-08-29T18:11:51.046668
483,0.057588,2025-08-29T18:11:51.104312
484,0.058738,2025-08-29T18:11:51.163109
485,0.059106,2025-08-29T18:11:51.222275
486,0.058799,2025-08-29T18:11:51.281928
487,0.05779,2025-08-29T18:11:51.339789
488,0.059828,2025-08-29T18:11:51.399680
489,0.059227,2025-08-29T18:11:51.458968
490,0.058326,2025-08-29T18:11:51.517352
491,0.059053,2025-08-29T18:11:51.576470
492,0.058124,2025-08-29T18:11:51.634652
493,0.059142,2025-08-29T18:11:51.693853
494,0.072081,2025-08-29T18:11:51.766004
495,0.067299,2025-08-29T18:11:51.833372
496,0.058744,2025-08-29T18:11:51.892177
497,0.058937,2025-08-29T18:11:51.951170
498,0.062327,2025-08-29T18:11:52.013569
499,0.058465,2025-08-29T18:11:52.072110
